,Stock #,Original Price,Sales Price,Vin #,Vehicle Name,Year,Drivetrain,Engine,Exterior,HWY,Interior,Mileage,Trans,Location
4, U11517,"            $55,995          ","             $52,000          ", WDDJK6FA5FF033962,Mercedes-Benz SL 400 RWD,2015, RWD, Twin Turbo Premium Unleaded V-8 4.7 L/285, Black, 26 MPG                                          |                              CITY, Black/Black Nappa Leather," 31,777", 7-Speed Automatic w/OD,"Rocklin, CA        "
5, U11560,"            $59,705          ","             $55,000          ", WDC0G5EB6KF495057,Mercedes-Benz GLC 350 AWD 4MATIC®,2019, RWD, Twin Turbo Premium Unleaded V-6 3.0 L/183, Black, 27 MPG                                          |                              CITY, Black Nappa Leather," 13,998", 7-Speed Automatic w/OD,"Rocklin, CA        "
6, U11613,"            $60,000          ","             $59,000          ", 4JGDF7EE8FA518627,Mercedes-Benz AMG® GL 63 SUV AWD 4MATIC®,2015, AWD 4MATIC, Intercooled Turbo Gas/Electric I-4 2.0 L/121, Selenite Grey Metallic,, Black MB-Tex," 8,672", 7-Speed Automatic w/OD,"Rocklin, CA        "
7, U11600,"            $70,000          ","             $69,000          ", WDDJK6GA9HF047073,Mercedes-Benz SL 450 RWD,2017, AWD 4MATIC, Twin Turbo Premium Unleaded V-8 5.5 L/333, Black, 17 MPG                                          |                              CITY, Black Leather," 53,236", 7-Speed Automatic w/OD,"Rocklin, CA        "
8, U11590,"            $75,000          ","             $74,000          ", WDDJK6GA8JF051198,Mercedes-Benz SL 450 RWD,2018, RWD, Twin Turbo Premium Unleaded V-6 3.0 L/183, designo Cardinal Red Metallic, 26 MPG                                          |                              CITY, designo Macchiato Beige/ Titian Red Nappa Leather," 18,410", 9-Speed Automatic w/OD,"Rocklin, CA        "
9, U11591,"            $77,000          ","             $76,000          ", WDDLJ7GB1GA186765,Mercedes-Benz AMG® CLS 63S Coupe AWD 4MATIC®,2016, RWD, Twin Turbo Premium Unleaded V-6 3.0 L/183, Selenite Grey Metallic, 28 MPG                                          |                              CITY, Crystal Grey/Black Leather," 18,845", 9-Speed Automatic w/OD,"Rocklin, CA        "
10, U11580,"            $99,000          ","             $98,000          ", WDDUG8JB0JA393074,Mercedes-Benz S-Class AMG® S 63 Long Wheelbase 4MATIC® AWD 4MATIC®,2018, RWD, Twin Turbo Premium Unleaded V-6 3.0 L/183, Magnetite Black Metallic, 28 MPG                                          |                              CITY, Porcelain/Black Exclusive Nappa Leather, 0, 9-Speed Automatic w/OD,"Rocklin, CA        "
11, U11596,"            $19,995          ","             $16,500          ", JN1CV6AP2FM502963,INFINITI Q40 Q40 RWD,2015, AWD 4MATIC, Twin Turbo Premium Unleaded V-8 5.5 L/333, designo Diamond White Metallic, 22 MPG                                          |                              CITY, designo Classic Red/Black Semi-Aniline Leather, 0, 7-Speed Automatic w/OD,"Rocklin, CA        "
12, U11507,"            $23,000          ","             $19,000          ", JN1BV7AP0FM347380,INFINITI Q50 QX50 RWD,2015, AWD 4MATIC, Twin Turbo Premium Unleaded V-8 4.0 L/243, Black, 26 MPG                                          |                              CITY, Black Exclusive Nappa Leather, 0, 9-Speed Automatic w/OD,"Rocklin, CA        "
13, U11571,"            $21,995          ","             $21,000          ", 4T1BK1EB2FU192098,Toyota Avalon AVALON FWD,2015, RWD, Premium Unleaded V-6 3.7 L/226, Moonlight White, 27 MPG                                          |                              CITY, Graphite," 18,770", 7-Speed Automatic w/OD,"Rocklin, CA        "
