,Drivetrain,Engine,Exterior,HWY,Interior,Location,Mileage,Original Price,Sales Price,Stock #,Trans,Unnamed: 0,Vehicle Name,Vin #,Year
8, RWD, Gas V6 3.5L/213, Black, 30 MPG                                          |                              CITY, Black MB-Tex,"Sacramento, CA        "," 80,955","            $19,916          ","             $18,921          ", B11983, 7-Speed Automatic,,Mercedes-Benz E 350 RWD, WDDHF5KB2CA567389,2012
9, RWD, Twin Turbo Premium Unleaded V-8 4.7 L/285, designo Diamond White Metallic, 26 MPG                                          |                              CITY, Black/Black Leather,"Sacramento, CA        "," 41,652","            $63,418          ","             $62,000          ", B11981, 9-Speed Automatic w/OD,,Mercedes-Benz S 550 Sport RWD, WDDUG8CB3HA301009,2017
10, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Iridium Silver Metallic, 34 MPG                                          |                              CITY, Sport Black MB-Tex,"Sacramento, CA        "," 31,758","            $32,522          ","             $31,203          ", B11984, 7-Speed Automatic w/OD,,Mercedes-Benz C 300 Sport RWD, 55SWF4JBXGU141944,2016
11, RWD, Twin Turbo Premium Unleaded V-6 3.0 L/183, Steel Grey, 29 MPG                                          |                              CITY, Black Leather,"Sacramento, CA        "," 26,051","            $42,506          ","             $41,870          ", B11987, 7-Speed Automatic w/OD,,Mercedes-Benz E 400 RWD, WDDKK6FFXGF342876,2016
12, AWD 4MATIC, Twin Turbo Premium Unleaded V-8 4.7 L/285, Selenite Grey Metallic, 25 MPG                                          |                              CITY, Saddle Brown / Black Semi-Aniline Leather,"Sacramento, CA        "," 22,269","            $58,914          ","             $58,211          ", B11986, 9-Speed Automatic w/OD,,Mercedes-Benz CLS 550 AWD 4MATIC®, WDDLJ9BB0GA160872,2016
13, 4WD, Regular Unleaded V-6 3.5 L/212, Burgundy, 24 MPG                                          |                              CITY, Beige,"Sacramento, CA        "," 81,838","            $24,916          ","             $24,433          ", B12002, 5-Speed Automatic w/OD,,Honda Pilot Touring 4WD, 5FNYF4H97EB046316,2014
14, AWD 4MATIC, Gas V6 3.5L/213, Lunar Blue Metallic, 23 MPG                                          |                              CITY, Almond Beige MB-Tex,"Sacramento, CA        "," 74,068","            $25,916          ","             $25,343          ", B12007, 7-Speed Automatic w/Manual Shift,,Mercedes-Benz M-Class ML 350 AWD 4MATIC®, 4JGDA5HB2DA124042,2013
15, AWD, Twin Turbo Premium Unleaded V-6 3.0 L/182, White, 25 MPG                                          |                              CITY, RED,"Sacramento, CA        "," 17,873","            $36,916          ","             $36,333          ", B12004, 8-Speed Automatic w/OD,,Maserati Ghibli S Q4 AWD, ZAM57RTA8E1124024,2014
16, 4WD, Regular Unleaded V-8 5.7 L/345, Billet Silver Metallic Clearcoat, 22 MPG                                          |                              CITY, Black,"Sacramento, CA        "," 29,516","            $42,916          ","             $42,321          ", B12006, 8-Speed Automatic w/OD,,Jeep Grand Cherokee High Altitude 4WD, 1C4RJFCT4JC151789,2018
17, RWD, Twin Turbo Premium Unleaded V-6 3.0 L/183, designo Diamond White Metallic, 26 MPG                                          |                              CITY, Saddle Brown/ Black Leather,"Sacramento, CA        "," 13,400","            $63,916          ","             $62,555          ", B12011, 9-Speed Automatic w/OD,,Mercedes-Benz E 400 Sport RWD, WDD1K6FB8JF069646,2018
18, FWD, Regular Unleaded I-4 2.5 L/152, BLACK, 35 MPG                                          |                              CITY, Black,"Sacramento, CA        "," 50,346","            $36,419          ","             $35,987          ", B12013, 6-Speed Automatic w/OD,,Mercedes-Benz E 400 RWD, WDDKK6FF9FF302304,2015
0, AWD 4MATIC, Twin Turbo Premium Unleaded V-6 3.0 L/183, Black, 28 MPG                                          |                              CITY, Cranberry Red Leather,"Sacramento, CA        "," 14,949","            $51,219          ","             $50,778          ", B12012, 9-Speed Automatic w/OD,,Mercedes-Benz C-Class AMG® C 43 Coupe AWD 4MATIC®, WDDWJ6EB4HF486850,2017
1, AWD 4MATIC, Twin Turbo Premium Unleaded V-6 3.0 L/183, designo Cardinal Red Metallic, 24 MPG                                          |                              CITY, Saddle Brown Leather,"Sacramento, CA        "," 17,186","            $61,771          ","             $61,000          ", B12016, 9-Speed Automatic w/OD,,Mercedes-Benz AMG® GLC 43 SUV AWD 4MATIC®, WDC0G6EB7JF410604,2018
2, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Black, 34 MPG                                          |                              CITY, Black MB-Tex,"Sacramento, CA        "," 9,177","            $42,945          ","             $39,741          ", B12019, 9-Speed Automatic w/OD,,Mercedes-Benz C 300 RWD, 55SWF8DB1KU293834,2019
3, AWD 4MATIC, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Night Black, 29 MPG                                          |                              CITY, Black Leather,"Sacramento, CA        "," 37,480","            $39,995          ","             $32,969          ", B12022, 7-Speed Auto-Shift Manual w/OD,,Mercedes-Benz AMG® GLA 45 SUV AWD 4MATIC®, WDDTG5CB2FJ028118,2015
4, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Polar White, 34 MPG                                          |                              CITY, Silk Beige MB-Tex,"Sacramento, CA        "," 8,155","            $42,945          ","             $39,654          ", B12017, 9-Speed Automatic w/OD,,Mercedes-Benz C 300 RWD, 55SWF8DB3KU296038,2019
5, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Emerald Green Metallic, 34 MPG                                          |                              CITY, Silk Beige MB-Tex,"Sacramento, CA        "," 8,167","            $45,095          ","             $41,819          ", B12020, 9-Speed Automatic w/OD,,Mercedes-Benz C 300 RWD, 55SWF8DB4KU287638,2019
6, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Polar White, 34 MPG                                          |                              CITY, Silk Beige MB-Tex,"Sacramento, CA        "," 8,862","            $42,945          ","             $39,421          ", B12018, 9-Speed Automatic w/OD,,Mercedes-Benz C 300 RWD, 55SWF8DB8KU295516,2019
7, FWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Cirrus White, 35 MPG                                          |                              CITY, Black MB-Tex,"Sacramento, CA        "," 49,792","            $27,991          ","             $25,990          ", B12023, 7-Speed Auto-Shift Manual w/OD,,Mercedes-Benz GLA 250 FWD, WDCTG4EB7GJ266334,2016
8, FWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Jupiter Red, 33 MPG                                          |                              CITY, Black MB-Tex,"Sacramento, CA        "," 26,181","            $33,989          ","             $33,205          ", B12021, 7-Speed Auto-Shift Manual w/OD,,Mercedes-Benz GLA 250 Sport FWD, WDCTG4EB3HJ289384,2017
9, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Polar White, 34 MPG                                          |                              CITY, Silk Beige MB-Tex,"Sacramento, CA        "," 11,478","            $42,945          ","             $33,991          ", B12025, 9-Speed Automatic w/OD,,Mercedes-Benz C 300 RWD, 55SWF8DB5KU294064,2019
10, FWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Jupiter Red, 38 MPG                                          |                              CITY, Black MB-Tex w/ DINAMICA,"Sacramento, CA        "," 33,045","            $29,909          ","             $29,413          ", B12024, 7-Speed Auto-Shift Manual w/OD,,Mercedes-Benz CLA 250 FWD, WDDSJ4EB6GN386935,2016
11, AWD 4MATIC, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Black, 29 MPG                                          |                              CITY, Black MB-Tex,"Sacramento, CA        "," 25,289","            $43,916          ","             $42,456          ", B12027, 9-Speed Automatic w/OD,,Mercedes-Benz E 300 AWD 4MATIC®, WDDZF4KB6HA011169,2017
0, RWD, Intercooled Turbo Diesel V-6 3.0 L/182, ARTIC WHITE,, Black/White,"Rocklin, CA        ", 10,"            $53,240          ","             $51,000          ", U11308, 7-Speed Automatic w/OD,0.0,Freightliner F2CA76 F2CA76 RWD, WDRPF1CD6KT000488,2019
1, RWD, Intercooled Turbo Diesel V-6 3.0 L/182, ARTIC WHITE,, Black/White,"Rocklin, CA        ", 10,"            $53,240          ","             $50,989          ", U11361, 7-Speed Automatic w/OD,1.0,Freightliner F2CA76 F2CA76 RWD, WDRPF1CD2KT000813,2019
